'Elapsed time','MLII','V5'
'2:00.403',-0.420,-0.275
'2:00.406',-0.430,-0.285
'2:00.408',-0.430,-0.285
'2:00.411',-0.420,-0.280
'2:00.414',-0.410,-0.265
'2:00.417',-0.400,-0.275
'2:00.419',-0.415,-0.280
'2:00.422',-0.420,-0.290
'2:00.425',-0.420,-0.285
'2:00.428',-0.420,-0.280
'2:00.431',-0.415,-0.275
'2:00.433',-0.410,-0.275
'2:00.436',-0.415,-0.285
'2:00.439',-0.415,-0.295
'2:00.442',-0.415,-0.295
'2:00.444',-0.410,-0.280
'2:00.447',-0.400,-0.280
'2:00.450',-0.405,-0.280
'2:00.453',-0.420,-0.290
'2:00.456',-0.415,-0.290
'2:00.458',-0.420,-0.300
'2:00.461',-0.405,-0.285
'2:00.464',-0.400,-0.285
'2:00.467',-0.420,-0.300
'2:00.469',-0.415,-0.295
'2:00.472',-0.415,-0.305
'2:00.475',-0.410,-0.310
'2:00.478',-0.410,-0.305
'2:00.481',-0.405,-0.295
'2:00.483',-0.410,-0.315
'2:00.486',-0.400,-0.315
'2:00.489',-0.410,-0.335
'2:00.492',-0.420,-0.335
'2:00.494',-0.405,-0.320
'2:00.497',-0.390,-0.320
'2:00.500',-0.405,-0.310
'2:00.503',-0.395,-0.325
'2:00.506',-0.395,-0.340
'2:00.508',-0.405,-0.335
'2:00.511',-0.395,-0.325
'2:00.514',-0.380,-0.320
'2:00.517',-0.390,-0.340
'2:00.519',-0.400,-0.340
'2:00.522',-0.405,-0.360
'2:00.525',-0.415,-0.365
'2:00.528',-0.410,-0.365
'2:00.531',-0.390,-0.365
'2:00.533',-0.405,-0.380
'2:00.536',-0.405,-0.390
'2:00.539',-0.410,-0.400
'2:00.542',-0.420,-0.390
'2:00.544',-0.420,-0.400
'2:00.547',-0.415,-0.400
'2:00.550',-0.420,-0.415
'2:00.553',-0.430,-0.430
'2:00.556',-0.435,-0.445
'2:00.558',-0.440,-0.420
'2:00.561',-0.430,-0.410
'2:00.564',-0.430,-0.415
'2:00.567',-0.425,-0.420
'2:00.569',-0.420,-0.435
'2:00.572',-0.435,-0.435
'2:00.575',-0.445,-0.430
'2:00.578',-0.425,-0.415
'2:00.581',-0.410,-0.400
'2:00.583',-0.420,-0.395
'2:00.586',-0.415,-0.395
'2:00.589',-0.415,-0.390
'2:00.592',-0.405,-0.365
'2:00.594',-0.400,-0.350
'2:00.597',-0.375,-0.320
'2:00.600',-0.365,-0.310
'2:00.603',-0.360,-0.305
'2:00.606',-0.370,-0.305
'2:00.608',-0.360,-0.290
'2:00.611',-0.345,-0.255
'2:00.614',-0.325,-0.255
'2:00.617',-0.325,-0.255
'2:00.619',-0.335,-0.265
'2:00.622',-0.320,-0.245
'2:00.625',-0.320,-0.245
'2:00.628',-0.310,-0.220
'2:00.631',-0.300,-0.215
'2:00.633',-0.295,-0.210
'2:00.636',-0.300,-0.225
'2:00.639',-0.310,-0.225
'2:00.642',-0.305,-0.225
'2:00.644',-0.290,-0.215
'2:00.647',-0.290,-0.210
'2:00.650',-0.295,-0.210
'2:00.653',-0.305,-0.215
'2:00.656',-0.310,-0.225
'2:00.658',-0.310,-0.220
'2:00.661',-0.300,-0.215
'2:00.664',-0.290,-0.215
'2:00.667',-0.290,-0.210
'2:00.669',-0.300,-0.230
'2:00.672',-0.320,-0.230
'2:00.675',-0.310,-0.230
'2:00.678',-0.285,-0.220
'2:00.681',-0.295,-0.215
'2:00.683',-0.295,-0.220
'2:00.686',-0.305,-0.225
'2:00.689',-0.310,-0.240
'2:00.692',-0.305,-0.230
'2:00.694',-0.310,-0.230
'2:00.697',-0.310,-0.225
'2:00.700',-0.300,-0.225
'2:00.703',-0.305,-0.230
'2:00.706',-0.310,-0.250
'2:00.708',-0.315,-0.235
'2:00.711',-0.320,-0.235
'2:00.714',-0.310,-0.230
'2:00.717',-0.310,-0.225
'2:00.719',-0.315,-0.250
'2:00.722',-0.325,-0.250
'2:00.725',-0.340,-0.245
'2:00.728',-0.320,-0.255
'2:00.731',-0.320,-0.230
'2:00.733',-0.325,-0.250
'2:00.736',-0.330,-0.265
'2:00.739',-0.330,-0.275
'2:00.742',-0.345,-0.265
'2:00.744',-0.315,-0.250
'2:00.747',-0.320,-0.240
'2:00.750',-0.315,-0.245
'2:00.753',-0.320,-0.260
'2:00.756',-0.335,-0.255
'2:00.758',-0.340,-0.265
'2:00.761',-0.330,-0.255
'2:00.764',-0.330,-0.260
'2:00.767',-0.320,-0.265
'2:00.769',-0.325,-0.275
'2:00.772',-0.335,-0.275
'2:00.775',-0.335,-0.255
'2:00.778',-0.330,-0.250
'2:00.781',-0.325,-0.245
'2:00.783',-0.335,-0.255
'2:00.786',-0.340,-0.260
'2:00.789',-0.345,-0.280
'2:00.792',-0.345,-0.290
'2:00.794',-0.340,-0.270
'2:00.797',-0.330,-0.265
'2:00.800',-0.335,-0.265
'2:00.803',-0.340,-0.270
'2:00.806',-0.345,-0.275
'2:00.808',-0.355,-0.270
'2:00.811',-0.345,-0.260
'2:00.814',-0.330,-0.260
'2:00.817',-0.335,-0.260
'2:00.819',-0.340,-0.275
'2:00.822',-0.350,-0.295
'2:00.825',-0.345,-0.270
'2:00.828',-0.345,-0.255
'2:00.831',-0.335,-0.255
'2:00.833',-0.350,-0.265
'2:00.836',-0.340,-0.275
'2:00.839',-0.355,-0.270
'2:00.842',-0.350,-0.265
'2:00.844',-0.330,-0.260
'2:00.847',-0.335,-0.260
'2:00.850',-0.340,-0.255
'2:00.853',-0.325,-0.265
'2:00.856',-0.335,-0.275
'2:00.858',-0.340,-0.270
'2:00.861',-0.330,-0.265
'2:00.864',-0.325,-0.245
'2:00.867',-0.330,-0.250
'2:00.869',-0.320,-0.260
'2:00.872',-0.335,-0.255
'2:00.875',-0.345,-0.260
'2:00.878',-0.335,-0.250
'2:00.881',-0.325,-0.245
'2:00.883',-0.320,-0.255
'2:00.886',-0.340,-0.265
'2:00.889',-0.350,-0.250
'2:00.892',-0.345,-0.255
'2:00.894',-0.335,-0.250
'2:00.897',-0.320,-0.235
'2:00.900',-0.325,-0.250
'2:00.903',-0.325,-0.255
'2:00.906',-0.320,-0.275
'2:00.908',-0.325,-0.275
'2:00.911',-0.300,-0.255
'2:00.914',-0.285,-0.255
'2:00.917',-0.270,-0.255
'2:00.919',-0.275,-0.250
'2:00.922',-0.280,-0.265
'2:00.925',-0.275,-0.250
'2:00.928',-0.255,-0.235
'2:00.931',-0.240,-0.240
'2:00.933',-0.230,-0.230
'2:00.936',-0.230,-0.235
'2:00.939',-0.225,-0.235
'2:00.942',-0.225,-0.220
'2:00.944',-0.220,-0.215
'2:00.947',-0.210,-0.205
'2:00.950',-0.215,-0.205
'2:00.953',-0.230,-0.215
'2:00.956',-0.235,-0.235
'2:00.958',-0.245,-0.220
'2:00.961',-0.240,-0.195
'2:00.964',-0.245,-0.175
'2:00.967',-0.230,-0.185
'2:00.969',-0.240,-0.190
'2:00.972',-0.265,-0.215
'2:00.975',-0.265,-0.200
'2:00.978',-0.240,-0.185
'2:00.981',-0.220,-0.190
'2:00.983',-0.200,-0.205
'2:00.986',-0.210,-0.200
'2:00.989',-0.245,-0.215
'2:00.992',-0.275,-0.225
'2:00.994',-0.285,-0.220
'2:00.997',-0.280,-0.225
'2:01.000',-0.300,-0.230
'2:01.003',-0.330,-0.230
'2:01.006',-0.340,-0.245
'2:01.008',-0.350,-0.235
'2:01.011',-0.345,-0.240
'2:01.014',-0.335,-0.240
'2:01.017',-0.335,-0.240
'2:01.019',-0.335,-0.245
'2:01.022',-0.345,-0.260
'2:01.025',-0.360,-0.240
'2:01.028',-0.350,-0.230
'2:01.031',-0.340,-0.230
'2:01.033',-0.335,-0.230
'2:01.036',-0.350,-0.255
'2:01.039',-0.350,-0.255
'2:01.042',-0.355,-0.250
'2:01.044',-0.350,-0.245
'2:01.047',-0.345,-0.245
'2:01.050',-0.355,-0.240
'2:01.053',-0.345,-0.250
'2:01.056',-0.360,-0.255
'2:01.058',-0.365,-0.250
'2:01.061',-0.355,-0.240
'2:01.064',-0.350,-0.230
'2:01.067',-0.345,-0.240
'2:01.069',-0.360,-0.255
'2:01.072',-0.370,-0.265
'2:01.075',-0.375,-0.280
'2:01.078',-0.380,-0.305
'2:01.081',-0.400,-0.325
'2:01.083',-0.445,-0.355
'2:01.086',-0.480,-0.390
'2:01.089',-0.510,-0.410
'2:01.092',-0.535,-0.385
'2:01.094',-0.570,-0.285
'2:01.097',-0.550,-0.150
'2:01.100',-0.470,-0.015
'2:01.103',-0.345,0.065
'2:01.106',-0.215,0.155
'2:01.108',-0.055,0.265
'2:01.111',0.165,0.395
'2:01.114',0.445,0.505
'2:01.117',0.705,0.600
'2:01.119',0.850,0.625
'2:01.122',0.890,0.455
'2:01.125',0.810,0.120
'2:01.128',0.530,-0.180
'2:01.131',0.145,-0.320
'2:01.133',-0.230,-0.310
'2:01.136',-0.455,-0.295
'2:01.139',-0.510,-0.305
'2:01.142',-0.470,-0.280
'2:01.144',-0.425,-0.265
'2:01.147',-0.385,-0.265
'2:01.150',-0.390,-0.275
'2:01.153',-0.380,-0.295
'2:01.156',-0.395,-0.290
'2:01.158',-0.395,-0.295
'2:01.161',-0.390,-0.280
'2:01.164',-0.380,-0.280
'2:01.167',-0.390,-0.290
'2:01.169',-0.385,-0.280
'2:01.172',-0.390,-0.295
'2:01.175',-0.405,-0.285
'2:01.178',-0.395,-0.280
'2:01.181',-0.390,-0.280
'2:01.183',-0.380,-0.285
'2:01.186',-0.390,-0.285
'2:01.189',-0.400,-0.290
'2:01.192',-0.405,-0.285
'2:01.194',-0.390,-0.275
'2:01.197',-0.375,-0.270
'2:01.200',-0.375,-0.275
'2:01.203',-0.380,-0.280
'2:01.206',-0.385,-0.285
'2:01.208',-0.395,-0.280
'2:01.211',-0.390,-0.275
'2:01.214',-0.380,-0.255
'2:01.217',-0.385,-0.255
'2:01.219',-0.380,-0.285
'2:01.222',-0.385,-0.290
'2:01.225',-0.390,-0.275
'2:01.228',-0.380,-0.255
'2:01.231',-0.380,-0.265
'2:01.233',-0.365,-0.255
'2:01.236',-0.375,-0.270
'2:01.239',-0.385,-0.285
'2:01.242',-0.380,-0.270
'2:01.244',-0.380,-0.245
'2:01.247',-0.365,-0.250
'2:01.250',-0.365,-0.265
'2:01.253',-0.375,-0.275
'2:01.256',-0.380,-0.295
'2:01.258',-0.390,-0.275
'2:01.261',-0.385,-0.270
'2:01.264',-0.380,-0.265
'2:01.267',-0.375,-0.265
'2:01.269',-0.375,-0.270
'2:01.272',-0.380,-0.275
'2:01.275',-0.380,-0.275
'2:01.278',-0.375,-0.265
'2:01.281',-0.370,-0.270
'2:01.283',-0.365,-0.265
'2:01.286',-0.375,-0.275
'2:01.289',-0.385,-0.280
'2:01.292',-0.375,-0.275
'2:01.294',-0.370,-0.285
'2:01.297',-0.365,-0.280
'2:01.300',-0.355,-0.290
'2:01.303',-0.360,-0.290
'2:01.306',-0.380,-0.295
'2:01.308',-0.375,-0.300
'2:01.311',-0.375,-0.285
'2:01.314',-0.360,-0.285
'2:01.317',-0.355,-0.300
'2:01.319',-0.365,-0.305
'2:01.322',-0.370,-0.325
'2:01.325',-0.375,-0.315
'2:01.328',-0.375,-0.300
'2:01.331',-0.360,-0.315
'2:01.333',-0.370,-0.315
'2:01.336',-0.360,-0.325
'2:01.339',-0.365,-0.355
'2:01.342',-0.380,-0.350
'2:01.344',-0.375,-0.360
'2:01.347',-0.365,-0.350
'2:01.350',-0.370,-0.350
'2:01.353',-0.380,-0.365
'2:01.356',-0.380,-0.375
'2:01.358',-0.385,-0.385
'2:01.361',-0.380,-0.385
'2:01.364',-0.375,-0.390
'2:01.367',-0.380,-0.380
'2:01.369',-0.385,-0.400
'2:01.372',-0.385,-0.405
'2:01.375',-0.390,-0.415
'2:01.378',-0.390,-0.390
'2:01.381',-0.375,-0.390
'2:01.383',-0.380,-0.390
'2:01.386',-0.390,-0.400
'2:01.389',-0.390,-0.405
'2:01.392',-0.400,-0.390
'2:01.394',-0.385,-0.370
'2:01.397',-0.380,-0.350
'2:01.400',-0.370,-0.345
'2:01.403',-0.370,-0.345
'2:01.406',-0.360,-0.330
'2:01.408',-0.360,-0.325
'2:01.411',-0.350,-0.290
'2:01.414',-0.340,-0.270
'2:01.417',-0.320,-0.265
'2:01.419',-0.315,-0.270
'2:01.422',-0.310,-0.265
'2:01.425',-0.310,-0.255
'2:01.428',-0.305,-0.240
'2:01.431',-0.285,-0.230
'2:01.433',-0.270,-0.225
'2:01.436',-0.280,-0.250
'2:01.439',-0.295,-0.250
'2:01.442',-0.285,-0.240
'2:01.444',-0.290,-0.225
'2:01.447',-0.290,-0.195
'2:01.450',-0.300,-0.205
'2:01.453',-0.280,-0.215
'2:01.456',-0.290,-0.215
'2:01.458',-0.290,-0.205
'2:01.461',-0.280,-0.210
'2:01.464',-0.270,-0.205
'2:01.467',-0.275,-0.205
'2:01.469',-0.270,-0.205
'2:01.472',-0.275,-0.215
'2:01.475',-0.275,-0.210
'2:01.478',-0.270,-0.205
'2:01.481',-0.265,-0.200
'2:01.483',-0.270,-0.200
'2:01.486',-0.270,-0.215
'2:01.489',-0.270,-0.215
'2:01.492',-0.285,-0.215
'2:01.494',-0.290,-0.215
'2:01.497',-0.275,-0.205
'2:01.500',-0.280,-0.205
'2:01.503',-0.285,-0.210
'2:01.506',-0.290,-0.225
'2:01.508',-0.295,-0.215
'2:01.511',-0.295,-0.215
'2:01.514',-0.290,-0.210
'2:01.517',-0.290,-0.215
'2:01.519',-0.295,-0.225
'2:01.522',-0.305,-0.235
'2:01.525',-0.305,-0.235
'2:01.528',-0.305,-0.215
'2:01.531',-0.295,-0.215
'2:01.533',-0.290,-0.215
'2:01.536',-0.300,-0.225
'2:01.539',-0.305,-0.235
'2:01.542',-0.315,-0.235
'2:01.544',-0.295,-0.225
'2:01.547',-0.290,-0.220
'2:01.550',-0.285,-0.235
'2:01.553',-0.295,-0.245
'2:01.556',-0.305,-0.250
'2:01.558',-0.315,-0.235
'2:01.561',-0.310,-0.230
'2:01.564',-0.295,-0.225
'2:01.567',-0.300,-0.240
'2:01.569',-0.305,-0.235
'2:01.572',-0.335,-0.250
'2:01.575',-0.340,-0.245
'2:01.578',-0.320,-0.230
'2:01.581',-0.310,-0.235
'2:01.583',-0.300,-0.235
'2:01.586',-0.315,-0.255
'2:01.589',-0.335,-0.255
'2:01.592',-0.340,-0.265
'2:01.594',-0.325,-0.245
'2:01.597',-0.320,-0.250
'2:01.600',-0.320,-0.240
'2:01.603',-0.330,-0.260
'2:01.606',-0.340,-0.255
'2:01.608',-0.340,-0.245
'2:01.611',-0.330,-0.245
'2:01.614',-0.320,-0.240
'2:01.617',-0.320,-0.245
'2:01.619',-0.330,-0.265
'2:01.622',-0.325,-0.255
'2:01.625',-0.320,-0.255
'2:01.628',-0.320,-0.240
'2:01.631',-0.325,-0.240
'2:01.633',-0.335,-0.230
'2:01.636',-0.330,-0.245
'2:01.639',-0.335,-0.260
'2:01.642',-0.345,-0.255
'2:01.644',-0.320,-0.245
'2:01.647',-0.325,-0.245
'2:01.650',-0.320,-0.245
'2:01.653',-0.330,-0.255
'2:01.656',-0.350,-0.260
'2:01.658',-0.350,-0.250
'2:01.661',-0.345,-0.235
'2:01.664',-0.325,-0.240
'2:01.667',-0.325,-0.245
'2:01.669',-0.325,-0.250
'2:01.672',-0.330,-0.270
'2:01.675',-0.335,-0.260
'2:01.678',-0.340,-0.245
'2:01.681',-0.335,-0.235
'2:01.683',-0.335,-0.235
'2:01.686',-0.330,-0.255
'2:01.689',-0.345,-0.255
'2:01.692',-0.335,-0.255
'2:01.694',-0.330,-0.230
'2:01.697',-0.315,-0.235
'2:01.700',-0.320,-0.240
'2:01.703',-0.320,-0.245
'2:01.706',-0.335,-0.255
'2:01.708',-0.325,-0.250
'2:01.711',-0.315,-0.240
'2:01.714',-0.300,-0.235
'2:01.717',-0.275,-0.245
'2:01.719',-0.270,-0.250
'2:01.722',-0.270,-0.250
'2:01.725',-0.280,-0.245
'2:01.728',-0.270,-0.225
'2:01.731',-0.255,-0.215
'2:01.733',-0.240,-0.230
'2:01.736',-0.240,-0.220
'2:01.739',-0.235,-0.220
'2:01.742',-0.235,-0.215
'2:01.744',-0.220,-0.210
'2:01.747',-0.210,-0.205
'2:01.750',-0.220,-0.210
'2:01.753',-0.240,-0.210
'2:01.756',-0.240,-0.210
'2:01.758',-0.260,-0.210
'2:01.761',-0.240,-0.195
'2:01.764',-0.240,-0.180
'2:01.767',-0.230,-0.170
'2:01.769',-0.235,-0.175
'2:01.772',-0.235,-0.205
'2:01.775',-0.240,-0.185
'2:01.778',-0.230,-0.175
'2:01.781',-0.235,-0.180
'2:01.783',-0.235,-0.180
'2:01.786',-0.255,-0.190
'2:01.789',-0.255,-0.205
'2:01.792',-0.250,-0.200
'2:01.794',-0.220,-0.185
'2:01.797',-0.205,-0.195
'2:01.800',-0.215,-0.200
'2:01.803',-0.250,-0.220
'2:01.806',-0.290,-0.225
'2:01.808',-0.295,-0.230
'2:01.811',-0.315,-0.225
'2:01.814',-0.320,-0.225
'2:01.817',-0.340,-0.230
'2:01.819',-0.350,-0.245
'2:01.822',-0.350,-0.245
'2:01.825',-0.355,-0.235
'2:01.828',-0.355,-0.230
'2:01.831',-0.325,-0.230
'2:01.833',-0.325,-0.235
'2:01.836',-0.340,-0.245
'2:01.839',-0.365,-0.245
'2:01.842',-0.365,-0.260
'2:01.844',-0.365,-0.235
'2:01.847',-0.355,-0.230
'2:01.850',-0.360,-0.240
'2:01.853',-0.365,-0.260
'2:01.856',-0.370,-0.265
'2:01.858',-0.360,-0.245
'2:01.861',-0.360,-0.235
'2:01.864',-0.360,-0.230
'2:01.867',-0.350,-0.240
'2:01.869',-0.365,-0.250
'2:01.872',-0.375,-0.265
'2:01.875',-0.375,-0.275
'2:01.878',-0.380,-0.285
'2:01.881',-0.395,-0.290
'2:01.883',-0.430,-0.320
'2:01.886',-0.480,-0.370
'2:01.889',-0.505,-0.395
'2:01.892',-0.535,-0.400
'2:01.894',-0.585,-0.360
'2:01.897',-0.600,-0.240
'2:01.900',-0.550,-0.125
'2:01.903',-0.430,-0.045
'2:01.906',-0.310,-0.005
'2:01.908',-0.160,0.090
'2:01.911',0.060,0.185
'2:01.914',0.345,0.300
'2:01.917',0.595,0.400
'2:01.919',0.765,0.475
'2:01.922',0.860,0.475
'2:01.925',0.880,0.345
'2:01.928',0.795,0.080
'2:01.931',0.540,-0.225
'2:01.933',0.185,-0.390
'2:01.936',-0.190,-0.390
'2:01.939',-0.415,-0.350
'2:01.942',-0.525,-0.315
'2:01.944',-0.515,-0.295
'2:01.947',-0.460,-0.285
'2:01.950',-0.420,-0.265
'2:01.953',-0.410,-0.295
'2:01.956',-0.420,-0.300
'2:01.958',-0.440,-0.295
'2:01.961',-0.420,-0.285
'2:01.964',-0.400,-0.285
'2:01.967',-0.405,-0.290
'2:01.969',-0.410,-0.285
'2:01.972',-0.430,-0.290
'2:01.975',-0.410,-0.285
'2:01.978',-0.405,-0.285
'2:01.981',-0.410,-0.280
'2:01.983',-0.405,-0.275
'2:01.986',-0.420,-0.300
'2:01.989',-0.425,-0.300
'2:01.992',-0.425,-0.295
'2:01.994',-0.415,-0.270
'2:01.997',-0.405,-0.260
'2:02.000',-0.410,-0.275
'2:02.003',-0.420,-0.290
'2:02.006',-0.430,-0.305
'2:02.008',-0.425,-0.300
'2:02.011',-0.420,-0.285
'2:02.014',-0.415,-0.280
'2:02.017',-0.410,-0.265
'2:02.019',-0.415,-0.285
'2:02.022',-0.415,-0.285
'2:02.025',-0.430,-0.290
'2:02.028',-0.410,-0.280
'2:02.031',-0.400,-0.270
'2:02.033',-0.415,-0.275
'2:02.036',-0.430,-0.285
'2:02.039',-0.430,-0.290
'2:02.042',-0.435,-0.295
'2:02.044',-0.425,-0.285
'2:02.047',-0.415,-0.285
'2:02.050',-0.410,-0.290
'2:02.053',-0.420,-0.285
'2:02.056',-0.420,-0.300
'2:02.058',-0.425,-0.285
'2:02.061',-0.425,-0.280
'2:02.064',-0.420,-0.270
'2:02.067',-0.425,-0.285
'2:02.069',-0.420,-0.300
'2:02.072',-0.425,-0.300
'2:02.075',-0.435,-0.290
'2:02.078',-0.430,-0.300
'2:02.081',-0.420,-0.280
'2:02.083',-0.430,-0.280
'2:02.086',-0.430,-0.300
'2:02.089',-0.425,-0.305
'2:02.092',-0.425,-0.300
'2:02.094',-0.425,-0.285
'2:02.097',-0.410,-0.295
'2:02.100',-0.410,-0.300
'2:02.103',-0.405,-0.315
'2:02.106',-0.420,-0.320
'2:02.108',-0.420,-0.315
'2:02.111',-0.405,-0.315
'2:02.114',-0.415,-0.320
'2:02.117',-0.415,-0.325
'2:02.119',-0.425,-0.330
'2:02.122',-0.430,-0.345
'2:02.125',-0.445,-0.335
'2:02.128',-0.435,-0.320
'2:02.131',-0.420,-0.335
'2:02.133',-0.420,-0.330
'2:02.136',-0.425,-0.355
'2:02.139',-0.440,-0.375
'2:02.142',-0.440,-0.375
'2:02.144',-0.445,-0.380
'2:02.147',-0.425,-0.370
'2:02.150',-0.425,-0.380
'2:02.153',-0.450,-0.400
'2:02.156',-0.445,-0.415
'2:02.158',-0.450,-0.415
'2:02.161',-0.450,-0.395
'2:02.164',-0.445,-0.400
'2:02.167',-0.435,-0.410
'2:02.169',-0.450,-0.425
'2:02.172',-0.460,-0.425
'2:02.175',-0.465,-0.430
'2:02.178',-0.465,-0.420
'2:02.181',-0.455,-0.410
'2:02.183',-0.450,-0.415
'2:02.186',-0.460,-0.425
'2:02.189',-0.475,-0.440
'2:02.192',-0.475,-0.430
'2:02.194',-0.475,-0.405
'2:02.197',-0.460,-0.395
'2:02.200',-0.450,-0.390
'2:02.203',-0.445,-0.380
'2:02.206',-0.440,-0.385
'2:02.208',-0.440,-0.365
'2:02.211',-0.425,-0.345
'2:02.214',-0.415,-0.335
'2:02.217',-0.400,-0.315
'2:02.219',-0.390,-0.325
'2:02.222',-0.390,-0.320
'2:02.225',-0.390,-0.310
'2:02.228',-0.375,-0.300
'2:02.231',-0.360,-0.290
'2:02.233',-0.355,-0.280
'2:02.236',-0.355,-0.280
'2:02.239',-0.350,-0.275
'2:02.242',-0.350,-0.280
'2:02.244',-0.350,-0.275
'2:02.247',-0.345,-0.270
'2:02.250',-0.350,-0.270
'2:02.253',-0.350,-0.275
'2:02.256',-0.350,-0.275
'2:02.258',-0.345,-0.275
'2:02.261',-0.340,-0.260
'2:02.264',-0.325,-0.265
'2:02.267',-0.345,-0.260
'2:02.269',-0.335,-0.275
'2:02.272',-0.345,-0.285
'2:02.275',-0.350,-0.285
'2:02.278',-0.350,-0.285
'2:02.281',-0.355,-0.270
'2:02.283',-0.340,-0.270
